,0
0,204
1,219
2,218
3,212
4,205
5,205
6,229
7,229
8,224
9,223
10,216
11,205
12,212
13,215
14,217
15,204
16,216
17,204
18,220
19,199
20,212
21,216
22,219
23,200
24,210
25,211
26,220
27,217
28,215
29,208
30,219
31,217
32,216
33,223
34,217
35,223
36,194
37,217
38,203
39,206
40,218
41,216
42,205
43,205
44,217
45,220
46,210
47,197
48,210
49,205
50,220
51,227
52,220
53,206
54,215
55,219
56,205
57,210
58,197
59,198
60,215
61,199
62,227
63,197
64,218
65,221
66,201
67,202
68,211
69,215
70,220
71,203
72,222
73,210
74,220
75,204
76,210
77,202
78,210
79,209
80,213
81,214
82,193
83,193
84,211
85,217
86,208
87,203
88,223
89,216
90,213
91,210
92,220
93,201
94,230
95,204
96,217
97,214
98,210
99,214
100,223
101,206
102,204
103,206
104,203
105,218
106,224
107,220
108,201
109,194
110,224
111,219
112,224
113,227
114,207
115,199
116,204
117,225
118,214
119,206
120,219
121,229
122,224
123,208
124,205
125,199
126,193
127,202
128,211
129,204
130,201
131,203
132,205
133,210
134,205
135,209
136,200
137,213
138,212
139,203
140,204
141,206
142,208
143,203
144,202
145,209
146,208
147,206
148,212
149,208
150,211
151,201
152,212
153,215
154,196
155,203
156,208
157,205
158,215
159,205
160,215
161,215
162,207
163,207
164,200
165,215
166,208
167,213
168,209
169,201
170,205
171,219
172,216
173,212
174,215
175,222
176,220
177,198
178,212
179,197
180,213
181,213
182,208
183,208
184,229
185,224
186,214
187,217
188,224
189,209
190,219
191,207
192,212
193,211
194,216
195,210
196,206
197,203
198,200
199,219
200,208
201,201
202,211
203,221
204,209
205,210
206,204
207,221
208,214
209,214
210,218
211,211
212,206
213,199
214,198
215,198
216,198
217,216
218,219
219,218
220,208
221,219
222,199
223,219
224,209
225,195
226,196
227,209
228,213
229,198
230,203
231,209
232,206
233,207
234,203
235,215
236,204
237,214
238,210
239,219
240,215
241,205
242,205
243,211
244,200
245,213
246,208
247,215
248,206
249,235
250,213
251,227
252,218
253,210
254,224
255,227
256,223
257,213
258,219
259,225
260,210
261,202
262,211
263,226
264,227
265,206
266,206
267,217
268,216
269,212
270,208
271,215
272,212
273,215
274,210
